invoice_id,customer_id,jurisdiction_code,principal_cents,due_date
INV0,CUST0,J0,1615217,2023-05-20
INV1,CUST1,J1,354825,2023-05-17
INV2,CUST2,J2,200597,2023-03-07
INV3,CUST3,J3,479833,2023-02-24
INV4,CUST4,J4,378849,2023-02-22
INV5,CUST5,J0,623590,2023-01-14
INV6,CUST6,J1,484234,2023-05-27
INV7,CUST7,J2,1982810,2023-04-23
INV8,CUST8,J3,996281,2023-02-05
INV9,CUST9,J4,1988485,2023-05-05
INV10,CUST10,J0,1520636,2023-06-25
INV11,CUST11,J1,760141,2023-02-26
INV12,CUST12,J2,1071395,2023-03-12
INV13,CUST13,J3,95937,2023-05-24
INV14,CUST14,J4,1970951,2023-06-22
INV15,CUST15,J0,99430,2023-02-03
INV16,CUST16,J1,1746199,2023-05-01
INV17,CUST17,J2,1696707,2023-01-14
INV18,CUST18,J3,553249,2023-02-13
INV19,CUST19,J4,1050604,2023-01-24
INV20,CUST0,J0,1404143,2023-04-21
INV21,CUST1,J1,1694935,2023-01-11
INV22,CUST2,J2,1071731,2023-02-19
INV23,CUST3,J3,1055652,2023-05-11
INV24,CUST4,J4,678152,2023-06-24
