query_id,invoice_id,as_of_date
Q0,INV0,2023-08-12
Q1,INV1,2023-06-25
Q2,INV2,2023-04-17
Q3,INV3,2024-01-12
Q4,INV4,2024-03-04
Q5,INV5,2023-12-03
Q6,INV6,2023-08-18
Q7,INV7,2023-07-20
Q8,INV8,2023-05-18
Q9,INV9,2023-05-20
Q10,INV10,2023-06-22
Q11,INV11,2023-05-13
Q12,INV12,2023-05-06
Q13,INV13,2023-06-10
Q14,INV14,2023-06-20
Q15,INV15,2023-11-22
Q16,INV16,2023-07-15
Q17,INV17,2023-02-05
Q18,INV18,2023-09-16
Q19,INV19,2024-02-17
Q20,INV20,2023-10-29
Q21,INV21,2023-06-06
Q22,INV22,2023-10-19
Q23,INV23,2023-08-08
Q24,INV24,2023-12-02
