invoice_id,customer_id,jurisdiction_code,principal_cents,due_date
INV0,CUST0,J0,197546,2023-03-15
INV1,CUST1,J1,494067,2023-04-10
INV2,CUST2,J2,1233654,2023-01-09
INV3,CUST3,J3,1095329,2023-04-06
INV4,CUST4,J4,1328992,2023-06-23
INV5,CUST5,J0,1495368,2023-05-18
INV6,CUST6,J1,250540,2023-03-08
INV7,CUST7,J2,654297,2023-01-05
INV8,CUST8,J3,1853936,2023-01-15
INV9,CUST9,J4,1625701,2023-04-10
INV10,CUST10,J0,172150,2023-05-27
INV11,CUST11,J1,1580991,2023-03-17
INV12,CUST12,J2,1588334,2023-01-08
INV13,CUST13,J3,1945427,2023-03-17
INV14,CUST14,J4,673329,2023-01-04
INV15,CUST15,J0,470243,2023-04-08
INV16,CUST16,J1,1152439,2023-02-10
INV17,CUST17,J2,1436773,2023-01-06
INV18,CUST18,J3,440783,2023-01-24
INV19,CUST19,J4,162950,2023-05-02
INV20,CUST0,J0,336148,2023-02-25
INV21,CUST1,J1,1694612,2023-01-18
INV22,CUST2,J2,1229444,2023-05-05
INV23,CUST3,J3,689636,2023-04-16
INV24,CUST4,J4,64857,2023-06-01
