payment_id,invoice_id,amount_cents,payment_date
PMT0-0,INV0,15700,2023-04-25
PMT1-0,INV1,94778,2023-05-22
PMT1-1,INV1,124128,2023-05-30
PMT1-2,INV1,135581,2023-05-09
PMT3-0,INV3,332940,2023-07-07
PMT4-0,INV4,160208,2023-12-15
PMT5-0,INV5,175701,2023-06-01
PMT5-1,INV5,430793,2023-07-28
PMT6-0,INV6,14380,2023-03-11
PMT7-0,INV7,137780,2023-04-18
PMT8-0,INV8,311768,2023-03-21
PMT9-0,INV9,384412,2023-04-13
PMT10-0,INV10,52338,2023-06-10
PMT10-1,INV10,59072,2023-06-04
PMT11-0,INV11,453195,2023-04-16
PMT12-0,INV12,462145,2023-01-30
PMT13-0,INV13,601653,2023-06-09
PMT13-1,INV13,212282,2023-04-02
PMT13-2,INV13,140187,2023-03-31
PMT14-0,INV14,223258,2023-02-15
PMT15-0,INV15,66567,2023-09-08
PMT17-0,INV17,95274,2023-01-21
PMT18-0,INV18,118757,2023-04-03
PMT18-1,INV18,78269,2023-08-22
PMT21-0,INV21,486368,2023-05-28
PMT21-1,INV21,472634,2023-05-04
PMT21-2,INV21,484719,2023-05-05
PMT22-0,INV22,366544,2023-09-27
PMT22-1,INV22,351063,2023-07-07
PMT22-2,INV22,423176,2023-09-26
PMT23-0,INV23,76046,2023-05-09
