invoice_id,customer_id,amount_due_cents
C1-INV1,C1,136612
C1-INV2,C1,191490
C1-INV3,C1,131535
C1-INV4,C1,193194
C1-INV5,C1,141461
C1-INV6,C1,99556
C1-INV7,C1,197371
C1-INV8,C1,124181
C1-INV9,C1,195849
C1-INV10,C1,13183
C1-INV11,C1,229968
C1-INV12,C1,248554
C1-INV13,C1,14644
C1-INV14,C1,243896
C1-INV15,C1,49378
C1-INV16,C1,95115
C1-INV17,C1,200769
C1-INV18,C1,39698
C1-INV19,C1,73419
C2-INV1,C2,114311
C2-INV2,C2,42035
C2-INV3,C2,220054
C2-INV4,C2,246643
C2-INV5,C2,53765
C2-INV6,C2,57207
C2-INV7,C2,145292
C2-INV8,C2,91326
C2-INV9,C2,172984
C2-INV10,C2,100783
C2-INV11,C2,177341
C2-INV12,C2,55070
C2-INV13,C2,129337
C2-INV14,C2,63114
C2-INV15,C2,142128
C2-INV16,C2,130857
C2-INV17,C2,97128
C2-INV18,C2,50491
C2-INV19,C2,132185
C3-INV1,C3,170494
C3-INV2,C3,146028
C3-INV3,C3,209098
C3-INV4,C3,103538
C3-INV5,C3,99240
C3-INV6,C3,73235
C3-INV7,C3,54744
C3-INV8,C3,186839
C3-INV9,C3,212798
C3-INV10,C3,72445
C3-INV11,C3,154372
C3-INV12,C3,166526
C3-INV13,C3,128921
C3-INV14,C3,217982
C3-INV15,C3,246925
C3-INV16,C3,233280
C3-INV17,C3,180991
C3-INV18,C3,92579
C3-INV19,C3,161180
C3-INV20,C3,46464
C3-INV21,C3,52608
C4-INV1,C4,141619
C4-INV2,C4,107556
C4-INV3,C4,149699
C4-INV4,C4,207055
C4-INV5,C4,219595
C4-INV6,C4,198092
C4-INV7,C4,176296
C4-INV8,C4,13233
C4-INV9,C4,179495
C4-INV10,C4,129563
C4-INV11,C4,199670
C4-INV12,C4,141516
C4-INV13,C4,39051
C4-INV14,C4,100383
C4-INV15,C4,140249
C4-INV16,C4,32470
C5-INV1,C5,39244
C5-INV2,C5,157188
C5-INV3,C5,68588
C5-INV4,C5,162037
C5-INV5,C5,174508
C5-INV6,C5,129746
C5-INV7,C5,51316
C5-INV8,C5,147885
C5-INV9,C5,31884
C5-INV10,C5,102246
C5-INV11,C5,139162
C5-INV12,C5,186472
C5-INV13,C5,245384
C5-INV14,C5,132342
C5-INV15,C5,62982
C5-INV16,C5,39716
C5-INV17,C5,50488
C5-INV18,C5,170684
C5-INV19,C5,78438
C6-INV1,C6,246680
C6-INV2,C6,121181
C6-INV3,C6,107870
C6-INV4,C6,178559
C6-INV5,C6,35980
C6-INV6,C6,102695
C6-INV7,C6,162692
C6-INV8,C6,14361
C6-INV9,C6,28059
C6-INV10,C6,139478
C6-INV11,C6,171353
C6-INV12,C6,66857
C6-INV13,C6,55489
C6-INV14,C6,131162
C6-INV15,C6,190178
C6-INV16,C6,183754
C6-INV17,C6,205819
C6-INV18,C6,90002
C6-INV19,C6,248217
C6-INV20,C6,249609
C6-INV21,C6,48276
C7-INV1,C7,41061
C7-INV2,C7,73416
C7-INV3,C7,123439
C7-INV4,C7,13103
C7-INV5,C7,211759
C7-INV6,C7,216144
C7-INV7,C7,146351
C7-INV8,C7,49220
C7-INV9,C7,168754
C7-INV10,C7,197661
C7-INV11,C7,94274
C7-INV12,C7,45022
C7-INV13,C7,242850
C7-INV14,C7,31176
C7-INV15,C7,249865
C7-INV16,C7,180824
C7-INV17,C7,51515
C7-INV18,C7,155263
C7-INV19,C7,138888
C7-INV20,C7,230635
C7-INV21,C7,242061
C8-INV1,C8,155621
C8-INV2,C8,27250
C8-INV3,C8,128085
C8-INV4,C8,90044
C8-INV5,C8,58303
C8-INV6,C8,167718
C8-INV7,C8,212265
C8-INV8,C8,88436
C8-INV9,C8,234004
C8-INV10,C8,240045
C8-INV11,C8,184834
C8-INV12,C8,161173
C8-INV13,C8,13740
C8-INV14,C8,118770
C8-INV15,C8,219270
C8-INV16,C8,105137
C8-INV17,C8,115446
C8-INV18,C8,71331
C8-INV19,C8,174047
C9-INV1,C9,148468
C9-INV2,C9,71831
C9-INV3,C9,37144
C9-INV4,C9,54415
C9-INV5,C9,242765
C9-INV6,C9,56973
C9-INV7,C9,246198
C9-INV8,C9,65816
C9-INV9,C9,115274
C9-INV10,C9,19494
C9-INV11,C9,32560
C9-INV12,C9,201989
C9-INV13,C9,99162
C9-INV14,C9,8419
C9-INV15,C9,173267
C9-INV16,C9,237653
C9-INV17,C9,244702
C9-INV18,C9,133593
C9-INV19,C9,137439
C9-INV20,C9,73748
C9-INV21,C9,110905
C9-INV22,C9,35962
C10-INV1,C10,75528
C10-INV2,C10,166937
C10-INV3,C10,188103
C10-INV4,C10,189298
C10-INV5,C10,221717
C10-INV6,C10,159657
C10-INV7,C10,66006
C10-INV8,C10,29041
C10-INV9,C10,192289
C10-INV10,C10,215029
C10-INV11,C10,98435
C10-INV12,C10,78728
C10-INV13,C10,139285
C10-INV14,C10,8231
C10-INV15,C10,9604
C10-INV16,C10,181688
