payment_id,customer_id,amount_cents
C1-PMT1,C1,40166
C1-PMT2,C1,246752
C1-PMT3,C1,59983
C1-PMT4,C1,14441
C1-PMT5,C1,60060
C1-PMT6,C1,144975
C1-PMT7,C1,115584
C1-PMT8,C1,87108
C1-PMT9,C1,36228
C1-PMT10,C1,194627
C1-PMT11,C1,145924
C1-PMT12,C1,44365
C1-PMT13,C1,12290
C1-PMT14,C1,56672
C1-PMT15,C1,33170
C1-PMT16,C1,184131
C1-PMT17,C1,47454
C1-PMT18,C1,105706
C1-PMT19,C1,355090
C1-PMT20,C1,14701
C1-PMT21,C1,94435
C1-PMT22,C1,51959
C1-PMT23,C1,173087
C1-PMT24,C1,166860
C1-PMT25,C1,134105
C2-PMT1,C2,158139
C2-PMT2,C2,20307
C2-PMT3,C2,120719
C2-PMT4,C2,52584
C2-PMT5,C2,81553
C2-PMT6,C2,77738
C2-PMT7,C2,33091
C2-PMT8,C2,194045
C2-PMT9,C2,99012
C2-PMT10,C2,104805
C2-PMT11,C2,171041
C2-PMT12,C2,102197
C2-PMT13,C2,25316
C2-PMT14,C2,214055
C2-PMT15,C2,79201
C2-PMT16,C2,110043
C2-PMT17,C2,170807
C2-PMT18,C2,156745
C2-PMT19,C2,60006
C2-PMT20,C2,62310
C2-PMT21,C2,111030
C2-PMT22,C2,17307
C3-PMT1,C3,139451
C3-PMT2,C3,90782
C3-PMT3,C3,113147
C3-PMT4,C3,194899
C3-PMT5,C3,113100
C3-PMT6,C3,197496
C3-PMT7,C3,238583
C3-PMT8,C3,121162
C3-PMT9,C3,23328
C3-PMT10,C3,99277
C3-PMT11,C3,5318
C3-PMT12,C3,213166
C3-PMT13,C3,53134
C3-PMT14,C3,174378
C3-PMT15,C3,125849
C3-PMT16,C3,139524
C3-PMT17,C3,168488
C3-PMT18,C3,145183
C3-PMT19,C3,203324
C3-PMT20,C3,16296
C3-PMT21,C3,222722
C3-PMT22,C3,38303
C3-PMT23,C3,173377
C4-PMT1,C4,35611
C4-PMT2,C4,105746
C4-PMT3,C4,76053
C4-PMT4,C4,51118
C4-PMT5,C4,106432
C4-PMT6,C4,56813
C4-PMT7,C4,13673
C4-PMT8,C4,142091
C4-PMT9,C4,199970
C4-PMT10,C4,174550
C4-PMT11,C4,152703
C4-PMT12,C4,132578
C4-PMT13,C4,165782
C4-PMT14,C4,132327
C4-PMT15,C4,108611
C4-PMT16,C4,107749
C4-PMT17,C4,15315
C4-PMT18,C4,143173
C4-PMT19,C4,80388
C4-PMT20,C4,1081
C4-PMT21,C4,66436
C4-PMT22,C4,107342
C5-PMT1,C5,139121
C5-PMT2,C5,95642
C5-PMT3,C5,52838
C5-PMT4,C5,73930
C5-PMT5,C5,18795
C5-PMT6,C5,20372
C5-PMT7,C5,105590
C5-PMT8,C5,95187
C5-PMT9,C5,155186
C5-PMT10,C5,81465
C5-PMT11,C5,173509
C5-PMT12,C5,34124
C5-PMT13,C5,111408
C5-PMT14,C5,28086
C5-PMT15,C5,5615
C5-PMT16,C5,101274
C5-PMT17,C5,32386
C5-PMT18,C5,24644
C5-PMT19,C5,88778
C5-PMT20,C5,42576
C5-PMT21,C5,153096
C5-PMT22,C5,84832
C5-PMT23,C5,122273
C5-PMT24,C5,18304
C5-PMT25,C5,63440
C5-PMT26,C5,16301
C5-PMT27,C5,22226
C5-PMT28,C5,105387
C5-PMT29,C5,103925
C6-PMT1,C6,94173
C6-PMT2,C6,114578
C6-PMT3,C6,87017
C6-PMT4,C6,26917
C6-PMT5,C6,61614
C6-PMT6,C6,22658
C6-PMT7,C6,46006
C6-PMT8,C6,54007
C6-PMT9,C6,175243
C6-PMT10,C6,113594
C6-PMT11,C6,206779
C6-PMT12,C6,127484
C6-PMT13,C6,42569
C6-PMT14,C6,129733
