payment_id,customer_id,amount_cents
C1-PMT1,C1,167485
C1-PMT2,C1,90609
C1-PMT3,C1,60750
C1-PMT4,C1,70587
C1-PMT5,C1,154713
C1-PMT6,C1,20882
C1-PMT7,C1,13019
C2-PMT1,C2,16036
C2-PMT2,C2,139158
C2-PMT3,C2,191073
C2-PMT4,C2,51108
C2-PMT5,C2,183078
C2-PMT6,C2,148456
C3-PMT1,C3,179526
C3-PMT2,C3,70938
C3-PMT3,C3,12878
C3-PMT4,C3,113223
C3-PMT5,C3,48505
C3-PMT6,C3,174982
C3-PMT7,C3,181375
C3-PMT8,C3,216329
C3-PMT9,C3,122641
C4-PMT1,C4,113633
C4-PMT2,C4,99294
C4-PMT3,C4,69238
C4-PMT4,C4,11549
C4-PMT5,C4,91873
C4-PMT6,C4,88243
C4-PMT7,C4,77941
C4-PMT8,C4,56013
C4-PMT9,C4,11871
C5-PMT1,C5,21239
C5-PMT2,C5,86059
C5-PMT3,C5,49317
C5-PMT4,C5,71648
C5-PMT5,C5,46887
C5-PMT6,C5,93640
C5-PMT7,C5,3953
C5-PMT8,C5,82516
C5-PMT9,C5,45763
C6-PMT1,C6,153899
C6-PMT2,C6,31475
C6-PMT3,C6,5665
C6-PMT4,C6,60369
C6-PMT5,C6,130688
C6-PMT6,C6,89454
C7-PMT1,C7,262149
C7-PMT2,C7,183632
C7-PMT3,C7,67864
C7-PMT4,C7,31322
C7-PMT5,C7,9537
C7-PMT6,C7,122291
C7-PMT7,C7,211738
C7-PMT8,C7,97954
C7-PMT9,C7,159491
C8-PMT1,C8,70048
C8-PMT2,C8,8917
C8-PMT3,C8,23679
C8-PMT4,C8,127569
C8-PMT5,C8,104262
C8-PMT6,C8,33417
C8-PMT7,C8,28358
C9-PMT1,C9,106538
C9-PMT2,C9,200505
C9-PMT3,C9,121043
C9-PMT4,C9,107576
C9-PMT5,C9,124623
C9-PMT6,C9,198053
C9-PMT7,C9,17288
C9-PMT8,C9,256897
C9-PMT9,C9,10036
C10-PMT1,C10,41513
C10-PMT2,C10,170563
C10-PMT3,C10,11077
C10-PMT4,C10,158248
C10-PMT5,C10,130747
C10-PMT6,C10,73405
C11-PMT1,C11,67903
C11-PMT2,C11,36551
C11-PMT3,C11,28106
C11-PMT4,C11,94915
C11-PMT5,C11,162808
C11-PMT6,C11,99584
C11-PMT7,C11,2386
C11-PMT8,C11,46002
C11-PMT9,C11,80180
C12-PMT1,C12,174591
C12-PMT2,C12,137986
C12-PMT3,C12,13267
C12-PMT4,C12,214033
C12-PMT5,C12,51115
C12-PMT6,C12,20343
C12-PMT7,C12,101381
C12-PMT8,C12,42402
C12-PMT9,C12,22462
C13-PMT1,C13,34146
C13-PMT2,C13,34923
C13-PMT3,C13,51682
C13-PMT4,C13,285517
C13-PMT5,C13,93514
C13-PMT6,C13,299092
C14-PMT1,C14,230702
C14-PMT2,C14,170976
C14-PMT3,C14,893
C14-PMT4,C14,73761
C14-PMT5,C14,84237
C14-PMT6,C14,125032
C14-PMT7,C14,268409
C14-PMT8,C14,178023
C15-PMT1,C15,92003
C15-PMT2,C15,217500
C15-PMT3,C15,131169
C15-PMT4,C15,83790
C15-PMT5,C15,249956
C15-PMT6,C15,149160
C16-PMT1,C16,142308
C16-PMT2,C16,107574
C16-PMT3,C16,134781
C16-PMT4,C16,73390
C16-PMT5,C16,57041
C16-PMT6,C16,249160
C16-PMT7,C16,243420
C17-PMT1,C17,42786
C17-PMT2,C17,73306
C17-PMT3,C17,27216
C17-PMT4,C17,9072
C17-PMT5,C17,66125
C17-PMT6,C17,63011
C17-PMT7,C17,88442
C17-PMT8,C17,21818
C17-PMT9,C17,49385
C18-PMT1,C18,41737
C18-PMT2,C18,113841
C18-PMT3,C18,81039
C18-PMT4,C18,495295
C18-PMT5,C18,95375
C18-PMT6,C18,43005
C18-PMT7,C18,2662
C18-PMT8,C18,60473
C18-PMT9,C18,237645
