job_id,required_skill,base_duration,priority,deadline,arrival_time
J1,electrical,75,standard,357,0
J2,general,60,standard,375,0
J3,plumbing,75,standard,297,0
J4,hvac,45,urgent,121,0
J5,hvac,75,standard,284,0
J6,general,90,standard,480,236
J7,general,90,standard,480,246
J8,electrical,75,standard,444,0
J9,hvac,90,standard,275,0
J10,hvac,60,urgent,144,0
J11,plumbing,45,standard,333,0
J12,hvac,90,standard,480,337
J13,plumbing,75,urgent,209,61
J14,general,75,standard,278,0
J15,general,75,standard,480,0
J16,hvac,60,standard,290,0
J17,general,45,standard,296,0
J18,hvac,75,standard,332,0
J19,general,90,standard,480,268
J20,general,30,standard,373,0
J21,hvac,75,urgent,193,0
J22,general,90,standard,385,0
