job_id,required_skill,base_duration,priority,deadline,arrival_time
J1,C,50,standard,276,0
J2,C,40,urgent,93,0
J3,A,40,urgent,102,0
J4,general,60,standard,223,0
J5,general,40,standard,280,0
J6,B,30,standard,264,0
J7,B,50,standard,337,70
J8,A,50,standard,222,70
J9,C,30,standard,290,70
J10,C,50,standard,338,70
J11,general,40,standard,359,70
J12,C,40,urgent,266,140
J13,B,40,standard,324,140
J14,B,60,standard,330,140
J15,B,40,standard,349,140
J16,general,60,standard,415,140
J17,C,60,standard,476,210
J18,B,40,urgent,347,210
J19,A,40,standard,388,210
J20,C,60,standard,479,210
J21,C,60,urgent,364,210
J22,C,40,standard,480,280
J23,A,40,standard,468,280
J24,A,30,standard,480,280
J25,general,40,standard,424,280
J26,A,50,standard,480,350
J27,general,50,standard,480,350
J28,B,50,urgent,442,350
J29,A,40,standard,480,350
J30,C,50,standard,480,350
