job_id,required_skill,base_duration,priority,deadline,arrival_time
J1,hvac,30,urgent,164,65
J2,electrical,90,standard,381,0
J3,general,90,urgent,267,0
J4,general,60,urgent,203,0
J5,plumbing,30,standard,392,0
J6,general,90,standard,453,0
J7,plumbing,75,standard,276,0
J8,hvac,75,standard,480,159
J9,hvac,60,standard,480,161
J10,general,90,standard,430,0
J11,general,75,standard,351,0
J12,plumbing,90,standard,343,0
J13,plumbing,30,standard,378,0
J14,hvac,30,standard,326,101
J15,hvac,30,standard,284,0
J16,general,45,standard,480,347
J17,hvac,60,standard,265,0
J18,general,60,standard,247,0
J19,hvac,30,urgent,190,0
J20,general,75,standard,463,0
J21,general,60,standard,460,0
J22,general,60,standard,459,156
