job_id,required_skill,base_duration,priority,deadline,arrival_time
J1,hvac,45,standard,480,333
J2,general,75,urgent,241,0
J3,electrical,75,standard,364,0
J4,general,45,urgent,169,0
J5,general,90,standard,413,80
J6,plumbing,60,urgent,370,220
J7,general,90,standard,287,0
J8,hvac,75,standard,311,0
J9,hvac,75,urgent,182,0
J10,plumbing,75,standard,480,311
J11,electrical,60,standard,480,350
J12,hvac,75,standard,480,68
J13,general,60,standard,403,0
J14,general,45,standard,257,0
J15,hvac,45,standard,422,0
J16,general,30,standard,450,0
J17,hvac,60,standard,262,0
J18,hvac,60,urgent,212,0
J19,general,60,standard,355,0
J20,electrical,75,standard,472,0
J21,general,30,standard,400,0
J22,plumbing,45,standard,298,0
