invoice_id,customer_id,amount_due_cents
C1-INV1,C1,9476
C1-INV2,C1,160196
C1-INV3,C1,85411
C1-INV4,C1,116082
C1-INV5,C1,104401
C2-INV1,C2,139383
C2-INV2,C2,169538
C2-INV3,C2,197468
C2-INV4,C2,118061
C2-INV5,C2,99108
C3-INV1,C3,51565
C3-INV2,C3,193196
C3-INV3,C3,131637
C3-INV4,C3,159824
C3-INV5,C3,212484
C3-INV6,C3,122296
C3-INV7,C3,182137
C3-INV8,C3,173395
C4-INV1,C4,116710
C4-INV2,C4,15206
C4-INV3,C4,153900
C4-INV4,C4,77237
C4-INV5,C4,155161
C5-INV1,C5,33082
C5-INV2,C5,167438
C5-INV3,C5,210470
C5-INV4,C5,36298
C5-INV5,C5,190373
C5-INV6,C5,213425
C6-INV1,C6,47616
C6-INV2,C6,217222
C6-INV3,C6,64148
C6-INV4,C6,185146
C6-INV5,C6,8338
C7-INV1,C7,148726
C7-INV2,C7,56549
C7-INV3,C7,202905
C7-INV4,C7,249731
C7-INV5,C7,125320
C7-INV6,C7,82501
C7-INV7,C7,61610
C7-INV8,C7,29026
C8-INV1,C8,148077
C8-INV2,C8,82398
C8-INV3,C8,116439
C8-INV4,C8,112378
C8-INV5,C8,83343
C8-INV6,C8,207287
C9-INV1,C9,70104
C9-INV2,C9,48339
C9-INV3,C9,178177
C9-INV4,C9,25598
C9-INV5,C9,93573
C9-INV6,C9,152330
C9-INV7,C9,185497
C9-INV8,C9,147033
C10-INV1,C10,200516
C10-INV2,C10,115769
C10-INV3,C10,26443
C10-INV4,C10,115092
C10-INV5,C10,188397
C10-INV6,C10,77682
C10-INV7,C10,130874
C10-INV8,C10,161588
C11-INV1,C11,181519
C11-INV2,C11,124756
C11-INV3,C11,163616
C11-INV4,C11,112967
C11-INV5,C11,81448
C12-INV1,C12,61953
C12-INV2,C12,239146
C12-INV3,C12,74176
C12-INV4,C12,228417
C12-INV5,C12,43343
C12-INV6,C12,136719
C12-INV7,C12,102268
C12-INV8,C12,33937
C13-INV1,C13,111655
C13-INV2,C13,216596
C13-INV3,C13,25877
C13-INV4,C13,77259
C13-INV5,C13,57540
C14-INV1,C14,244027
C14-INV2,C14,200473
C14-INV3,C14,52868
C14-INV4,C14,10006
C14-INV5,C14,40673
C15-INV1,C15,40150
C15-INV2,C15,96888
C15-INV3,C15,29245
C15-INV4,C15,46951
C15-INV5,C15,229642
C16-INV1,C16,237384
C16-INV2,C16,177935
C16-INV3,C16,172305
C16-INV4,C16,38867
C16-INV5,C16,98480
C16-INV6,C16,104644
C16-INV7,C16,207896
C16-INV8,C16,86360
C17-INV1,C17,220728
C17-INV2,C17,47018
C17-INV3,C17,159490
C17-INV4,C17,249067
C17-INV5,C17,113623
C17-INV6,C17,101086
C17-INV7,C17,69469
C17-INV8,C17,87648
C18-INV1,C18,124643
C18-INV2,C18,225253
C18-INV3,C18,5827
C18-INV4,C18,107608
C18-INV5,C18,172009
