payment_id,customer_id,amount_cents
C1-PMT1,C1,17080
C1-PMT2,C1,46935
C1-PMT3,C1,116543
C1-PMT4,C1,1845
C1-PMT5,C1,69480
C1-PMT6,C1,103259
C1-PMT7,C1,70093
C1-PMT8,C1,50331
C2-PMT1,C2,15088
C2-PMT2,C2,53904
C2-PMT3,C2,13785
C2-PMT4,C2,162790
C2-PMT5,C2,45071
C2-PMT6,C2,9257
C2-PMT7,C2,96759
C2-PMT8,C2,172468
C2-PMT9,C2,154436
C3-PMT1,C3,93607
C3-PMT2,C3,85766
C3-PMT3,C3,418910
C3-PMT4,C3,95436
C3-PMT5,C3,339123
C3-PMT6,C3,193692
C4-PMT1,C4,28586
C4-PMT2,C4,73553
C4-PMT3,C4,154656
C4-PMT4,C4,77797
C4-PMT5,C4,96903
C4-PMT6,C4,86719
C5-PMT1,C5,240844
C5-PMT2,C5,125907
C5-PMT3,C5,86052
C5-PMT4,C5,37343
C5-PMT5,C5,129241
C5-PMT6,C5,142995
C5-PMT7,C5,62398
C5-PMT8,C5,26306
C6-PMT1,C6,70595
C6-PMT2,C6,97065
C6-PMT3,C6,6083
C6-PMT4,C6,105509
C6-PMT5,C6,50125
C6-PMT6,C6,7455
C6-PMT7,C6,98175
C6-PMT8,C6,29125
C6-PMT9,C6,58338
C7-PMT1,C7,222452
C7-PMT2,C7,52435
C7-PMT3,C7,221120
C7-PMT4,C7,88962
C7-PMT5,C7,86472
C7-PMT6,C7,125116
C7-PMT7,C7,132678
C7-PMT8,C7,27133
C8-PMT1,C8,146038
C8-PMT2,C8,144163
C8-PMT3,C8,67550
C8-PMT4,C8,6753
C8-PMT5,C8,225562
C8-PMT6,C8,159856
C9-PMT1,C9,117859
C9-PMT2,C9,246797
C9-PMT3,C9,162617
C9-PMT4,C9,1034
C9-PMT5,C9,61625
C9-PMT6,C9,29790
C9-PMT7,C9,209594
C9-PMT8,C9,71335
C10-PMT1,C10,139575
C10-PMT2,C10,46570
C10-PMT3,C10,137921
C10-PMT4,C10,188861
C10-PMT5,C10,282662
C10-PMT6,C10,75053
C10-PMT7,C10,145719
C11-PMT1,C11,21031
C11-PMT2,C11,106788
C11-PMT3,C11,39607
C11-PMT4,C11,91588
C11-PMT5,C11,90680
C11-PMT6,C11,35873
C11-PMT7,C11,105480
C11-PMT8,C11,83795
C11-PMT9,C11,89464
C12-PMT1,C12,63402
C12-PMT2,C12,296762
C12-PMT3,C12,115903
C12-PMT4,C12,145508
C12-PMT5,C12,55783
C12-PMT6,C12,242601
C13-PMT1,C13,74090
C13-PMT2,C13,81530
C13-PMT3,C13,47481
C13-PMT4,C13,96767
C13-PMT5,C13,19213
C13-PMT6,C13,11846
C13-PMT7,C13,102246
C13-PMT8,C13,23639
C13-PMT9,C13,32115
C14-PMT1,C14,36478
C14-PMT2,C14,122913
C14-PMT3,C14,77210
C14-PMT4,C14,73932
C14-PMT5,C14,160170
C14-PMT6,C14,77344
C15-PMT1,C15,27013
C15-PMT2,C15,28084
C15-PMT3,C15,99291
C15-PMT4,C15,126742
C15-PMT5,C15,23708
C15-PMT6,C15,40609
C15-PMT7,C15,41518
C15-PMT8,C15,55911
C16-PMT1,C16,42410
C16-PMT2,C16,257711
C16-PMT3,C16,110286
C16-PMT4,C16,20718
C16-PMT5,C16,280543
C16-PMT6,C16,113254
C16-PMT7,C16,207128
C16-PMT8,C16,91821
C17-PMT1,C17,77659
C17-PMT2,C17,57111
C17-PMT3,C17,209080
C17-PMT4,C17,175834
C17-PMT5,C17,116775
C17-PMT6,C17,215413
C17-PMT7,C17,90767
C17-PMT8,C17,9193
C17-PMT9,C17,96297
C18-PMT1,C18,66739
C18-PMT2,C18,102377
C18-PMT3,C18,71533
C18-PMT4,C18,8947
C18-PMT5,C18,91817
C18-PMT6,C18,100257
C18-PMT7,C18,110454
C18-PMT8,C18,68244
C18-PMT9,C18,14972
