payment_id,invoice_id,amount_cents,payment_date
PMT0-0,INV0,14362,2023-03-31
PMT1-0,INV1,417632,2023-12-11
PMT2-0,INV2,183202,2023-12-02
PMT2-1,INV2,237402,2023-11-30
PMT3-0,INV3,218011,2023-03-30
PMT4-0,INV4,142320,2023-04-21
PMT5-0,INV5,129066,2023-07-21
PMT5-1,INV5,187657,2023-06-27
PMT6-0,INV6,223913,2023-02-25
PMT6-1,INV6,131194,2023-10-16
PMT6-2,INV6,127716,2023-04-18
PMT7-0,INV7,363082,2023-12-22
PMT10-0,INV10,150147,2023-07-02
PMT11-0,INV11,94523,2023-05-14
PMT12-0,INV12,73271,2023-03-24
PMT13-0,INV13,207244,2023-05-03
PMT13-1,INV13,171045,2023-06-25
PMT14-0,INV14,209354,2023-02-04
PMT14-1,INV14,126936,2023-04-09
PMT15-0,INV15,262208,2023-01-20
PMT15-1,INV15,160148,2023-02-02
PMT15-2,INV15,317779,2023-01-18
PMT16-0,INV16,207713,2023-04-27
PMT17-0,INV17,130965,2023-10-29
PMT17-1,INV17,109713,2023-09-07
PMT17-2,INV17,96171,2023-07-20
PMT20-0,INV20,439143,2023-02-28
PMT21-0,INV21,414433,2023-06-06
PMT21-1,INV21,74070,2023-05-19
PMT21-2,INV21,238778,2023-09-30
PMT23-0,INV23,103282,2023-06-07
PMT23-1,INV23,537543,2023-09-25
PMT24-0,INV24,69484,2023-08-27
