query_id,invoice_id,as_of_date
Q0,INV0,2023-04-13
Q1,INV1,2024-01-11
Q2,INV2,2023-12-22
Q3,INV3,2023-04-03
Q4,INV4,2023-05-16
Q5,INV5,2023-07-26
Q6,INV6,2023-11-27
Q7,INV7,2024-03-15
Q8,INV8,2023-07-13
Q9,INV9,2024-04-12
Q10,INV10,2023-12-14
Q11,INV11,2023-05-29
Q12,INV12,2023-03-30
Q13,INV13,2023-06-30
Q14,INV14,2023-07-27
Q15,INV15,2023-02-04
Q16,INV16,2023-06-17
Q17,INV17,2024-02-05
Q18,INV18,2023-08-20
Q19,INV19,2023-09-25
Q20,INV20,2023-03-18
Q21,INV21,2023-10-19
Q22,INV22,2023-10-22
Q23,INV23,2023-12-10
Q24,INV24,2024-04-16
