invoice_id,customer_id,amount_due_cents
C1-INV1,C1,185818
C1-INV2,C1,114584
C1-INV3,C1,171461
C1-INV4,C1,78729
C1-INV5,C1,130593
C1-INV6,C1,226060
C1-INV7,C1,61626
C1-INV8,C1,212784
C2-INV1,C2,213077
C2-INV2,C2,201954
C2-INV3,C2,65883
C2-INV4,C2,246564
C2-INV5,C2,65999
C2-INV6,C2,186906
C3-INV1,C3,45583
C3-INV2,C3,199254
C3-INV3,C3,219305
C3-INV4,C3,28190
C3-INV5,C3,37735
C4-INV1,C4,181631
C4-INV2,C4,215478
C4-INV3,C4,239347
C4-INV4,C4,177489
C4-INV5,C4,202864
C4-INV6,C4,204961
C5-INV1,C5,88349
C5-INV2,C5,131996
C5-INV3,C5,106343
C5-INV4,C5,74652
C5-INV5,C5,12034
C5-INV6,C5,223659
C5-INV7,C5,29448
C5-INV8,C5,46666
C6-INV1,C6,32072
C6-INV2,C6,49221
C6-INV3,C6,22208
C6-INV4,C6,246992
C6-INV5,C6,218305
C6-INV6,C6,50617
C7-INV1,C7,234676
C7-INV2,C7,69453
C7-INV3,C7,47544
C7-INV4,C7,152276
C7-INV5,C7,23175
C7-INV6,C7,120142
C8-INV1,C8,17950
C8-INV2,C8,71116
C8-INV3,C8,41592
C8-INV4,C8,175459
C8-INV5,C8,142790
C8-INV6,C8,243929
C8-INV7,C8,196000
C8-INV8,C8,130584
C9-INV1,C9,206393
C9-INV2,C9,193944
C9-INV3,C9,7682
C9-INV4,C9,105234
C9-INV5,C9,184646
C9-INV6,C9,37999
C10-INV1,C10,29625
C10-INV2,C10,53937
C10-INV3,C10,11636
C10-INV4,C10,173227
C10-INV5,C10,122140
C10-INV6,C10,211083
C10-INV7,C10,41916
C10-INV8,C10,23845
C11-INV1,C11,53219
C11-INV2,C11,229786
C11-INV3,C11,104040
C11-INV4,C11,57853
C11-INV5,C11,191115
C11-INV6,C11,200087
C12-INV1,C12,205257
C12-INV2,C12,153620
C12-INV3,C12,50953
C12-INV4,C12,228986
C12-INV5,C12,191512
C12-INV6,C12,66162
C12-INV7,C12,71297
C12-INV8,C12,187644
C13-INV1,C13,138224
C13-INV2,C13,160913
C13-INV3,C13,197563
C13-INV4,C13,89914
C13-INV5,C13,140488
C14-INV1,C14,177480
C14-INV2,C14,115172
C14-INV3,C14,33208
C14-INV4,C14,232533
C14-INV5,C14,24951
C14-INV6,C14,175842
C14-INV7,C14,24223
C15-INV1,C15,64109
C15-INV2,C15,11540
C15-INV3,C15,17797
C15-INV4,C15,178408
C15-INV5,C15,118748
C16-INV1,C16,50310
C16-INV2,C16,133944
C16-INV3,C16,102786
C16-INV4,C16,193002
C16-INV5,C16,163489
C16-INV6,C16,238435
C16-INV7,C16,61598
C16-INV8,C16,209345
C17-INV1,C17,86950
C17-INV2,C17,57962
C17-INV3,C17,86718
C17-INV4,C17,234549
C17-INV5,C17,107556
C17-INV6,C17,192804
C18-INV1,C18,189536
C18-INV2,C18,118580
C18-INV3,C18,58954
C18-INV4,C18,182909
C18-INV5,C18,92895
C18-INV6,C18,102511
