payment_id,customer_id,amount_cents
C1-PMT1,C1,138294
C1-PMT2,C1,268675
C1-PMT3,C1,264810
C1-PMT4,C1,96250
C1-PMT5,C1,61881
C1-PMT6,C1,248852
C1-PMT7,C1,102893
C2-PMT1,C2,229039
C2-PMT2,C2,77153
C2-PMT3,C2,115826
C2-PMT4,C2,322904
C2-PMT5,C2,213265
C2-PMT6,C2,22196
C3-PMT1,C3,44948
C3-PMT2,C3,42232
C3-PMT3,C3,95481
C3-PMT4,C3,144705
C3-PMT5,C3,5125
C3-PMT6,C3,52605
C3-PMT7,C3,118785
C3-PMT8,C3,26186
C4-PMT1,C4,304489
C4-PMT2,C4,203429
C4-PMT3,C4,249732
C4-PMT4,C4,293666
C4-PMT5,C4,69053
C4-PMT6,C4,64214
C4-PMT7,C4,37187
C5-PMT1,C5,130027
C5-PMT2,C5,18381
C5-PMT3,C5,144293
C5-PMT4,C5,128855
C5-PMT5,C5,29103
C5-PMT6,C5,49949
C5-PMT7,C5,74911
C5-PMT8,C5,743
C5-PMT9,C5,136885
C6-PMT1,C6,86243
C6-PMT2,C6,41913
C6-PMT3,C6,68114
C6-PMT4,C6,112386
C6-PMT5,C6,177184
C6-PMT6,C6,98272
C6-PMT7,C6,25683
C6-PMT8,C6,9620
C7-PMT1,C7,164361
C7-PMT2,C7,13678
C7-PMT3,C7,67628
C7-PMT4,C7,7528
C7-PMT5,C7,106815
C7-PMT6,C7,9113
C7-PMT7,C7,126661
C7-PMT8,C7,75493
C7-PMT9,C7,75989
C8-PMT1,C8,191746
C8-PMT2,C8,14838
C8-PMT3,C8,111198
C8-PMT4,C8,193336
C8-PMT5,C8,315284
C8-PMT6,C8,80658
C8-PMT7,C8,112360
C9-PMT1,C9,168784
C9-PMT2,C9,31843
C9-PMT3,C9,6161
C9-PMT4,C9,69317
C9-PMT5,C9,85504
C9-PMT6,C9,65475
C9-PMT7,C9,155632
C9-PMT8,C9,153182
C10-PMT1,C10,198085
C10-PMT2,C10,31215
C10-PMT3,C10,171790
C10-PMT4,C10,33169
C10-PMT5,C10,73752
C10-PMT6,C10,159398
C11-PMT1,C11,158309
C11-PMT2,C11,12107
C11-PMT3,C11,198458
C11-PMT4,C11,186352
C11-PMT5,C11,144189
C11-PMT6,C11,132352
C11-PMT7,C11,4333
C12-PMT1,C12,317293
C12-PMT2,C12,319557
C12-PMT3,C12,128300
C12-PMT4,C12,203881
C12-PMT5,C12,21974
C12-PMT6,C12,164426
C13-PMT1,C13,146979
C13-PMT2,C13,76447
C13-PMT3,C13,97015
C13-PMT4,C13,275664
C13-PMT5,C13,49691
C13-PMT6,C13,81306
C14-PMT1,C14,22830
C14-PMT2,C14,199207
C14-PMT3,C14,213472
C14-PMT4,C14,117456
C14-PMT5,C14,164246
C14-PMT6,C14,66198
C15-PMT1,C15,32383
C15-PMT2,C15,77255
C15-PMT3,C15,5511
C15-PMT4,C15,53030
C15-PMT5,C15,36122
C15-PMT6,C15,47433
C15-PMT7,C15,18582
C15-PMT8,C15,92299
C15-PMT9,C15,27987
C16-PMT1,C16,235794
C16-PMT2,C16,328628
C16-PMT3,C16,252288
C16-PMT4,C16,137465
C16-PMT5,C16,70122
C16-PMT6,C16,128612
C17-PMT1,C17,38122
C17-PMT2,C17,47552
C17-PMT3,C17,303156
C17-PMT4,C17,45959
C17-PMT5,C17,290060
C17-PMT6,C17,41690
C18-PMT1,C18,68386
C18-PMT2,C18,152483
C18-PMT3,C18,49496
C18-PMT4,C18,178686
C18-PMT5,C18,128148
C18-PMT6,C18,168186
