invoice_id,customer_id,amount_due_cents
C1-INV1,C1,235694
C1-INV2,C1,195227
C1-INV3,C1,139371
C1-INV4,C1,131841
C1-INV5,C1,229166
C1-INV6,C1,102261
C1-INV7,C1,111654
C1-INV8,C1,13927
C1-INV9,C1,245974
C1-INV10,C1,41771
C1-INV11,C1,46719
C1-INV12,C1,214382
C1-INV13,C1,113260
C1-INV14,C1,222726
C1-INV15,C1,53011
C1-INV16,C1,95727
C2-INV1,C2,37322
C2-INV2,C2,204778
C2-INV3,C2,52191
C2-INV4,C2,27853
C2-INV5,C2,38697
C2-INV6,C2,170332
C2-INV7,C2,162130
C2-INV8,C2,62166
C2-INV9,C2,85501
C2-INV10,C2,57455
C2-INV11,C2,150450
C2-INV12,C2,154343
C2-INV13,C2,117524
C2-INV14,C2,24015
C2-INV15,C2,148624
C2-INV16,C2,49326
C2-INV17,C2,200119
C2-INV18,C2,191660
C2-INV19,C2,209603
C2-INV20,C2,60929
C2-INV21,C2,44248
C3-INV1,C3,55894
C3-INV2,C3,223451
C3-INV3,C3,41000
C3-INV4,C3,26120
C3-INV5,C3,203178
C3-INV6,C3,208408
C3-INV7,C3,73567
C3-INV8,C3,21231
C3-INV9,C3,203156
C3-INV10,C3,28816
C3-INV11,C3,237539
C3-INV12,C3,184265
C3-INV13,C3,227167
C3-INV14,C3,210340
C3-INV15,C3,55363
C3-INV16,C3,64971
C3-INV17,C3,148658
C3-INV18,C3,90459
C4-INV1,C4,59791
C4-INV2,C4,35598
C4-INV3,C4,175183
C4-INV4,C4,94862
C4-INV5,C4,125190
C4-INV6,C4,31753
C4-INV7,C4,65348
C4-INV8,C4,187087
C4-INV9,C4,98718
C4-INV10,C4,222540
C4-INV11,C4,41551
C4-INV12,C4,19588
C4-INV13,C4,25160
C4-INV14,C4,143310
C4-INV15,C4,40119
C4-INV16,C4,212655
C4-INV17,C4,137530
C5-INV1,C5,246513
C5-INV2,C5,105904
C5-INV3,C5,211020
C5-INV4,C5,224470
C5-INV5,C5,174502
C5-INV6,C5,116147
C5-INV7,C5,77020
C5-INV8,C5,46043
C5-INV9,C5,171837
C5-INV10,C5,145443
C5-INV11,C5,136308
C5-INV12,C5,239228
C5-INV13,C5,203826
C5-INV14,C5,199127
C5-INV15,C5,76957
C5-INV16,C5,196757
C5-INV17,C5,212806
C5-INV18,C5,5679
C6-INV1,C6,108495
C6-INV2,C6,199691
C6-INV3,C6,184635
C6-INV4,C6,49647
C6-INV5,C6,44020
C6-INV6,C6,190915
C6-INV7,C6,179340
C6-INV8,C6,105324
C6-INV9,C6,75336
C6-INV10,C6,139462
C6-INV11,C6,84932
C6-INV12,C6,37154
C6-INV13,C6,93707
C6-INV14,C6,210180
C6-INV15,C6,174380
C6-INV16,C6,174909
C6-INV17,C6,158605
C6-INV18,C6,89973
C6-INV19,C6,118398
C6-INV20,C6,182651
C7-INV1,C7,157232
C7-INV2,C7,165475
C7-INV3,C7,127728
C7-INV4,C7,88970
C7-INV5,C7,103181
C7-INV6,C7,205138
C7-INV7,C7,243830
C7-INV8,C7,93311
C7-INV9,C7,181861
C7-INV10,C7,126114
C7-INV11,C7,216733
C7-INV12,C7,124581
C7-INV13,C7,18245
C7-INV14,C7,188500
C7-INV15,C7,119392
C7-INV16,C7,238659
C7-INV17,C7,199083
C8-INV1,C8,220299
C8-INV2,C8,48642
C8-INV3,C8,68751
C8-INV4,C8,116736
C8-INV5,C8,179051
C8-INV6,C8,61015
C8-INV7,C8,42245
C8-INV8,C8,10528
C8-INV9,C8,195227
C8-INV10,C8,80630
C8-INV11,C8,216493
C8-INV12,C8,63269
C8-INV13,C8,33720
C8-INV14,C8,127752
C8-INV15,C8,111518
C8-INV16,C8,96792
C8-INV17,C8,46861
C8-INV18,C8,225815
C8-INV19,C8,142584
C8-INV20,C8,79873
C9-INV1,C9,38381
C9-INV2,C9,147115
C9-INV3,C9,216373
C9-INV4,C9,176118
C9-INV5,C9,152429
C9-INV6,C9,202308
C9-INV7,C9,176274
C9-INV8,C9,108499
C9-INV9,C9,27851
C9-INV10,C9,182254
C9-INV11,C9,228818
C9-INV12,C9,247795
C9-INV13,C9,219959
C9-INV14,C9,15487
C9-INV15,C9,58858
C9-INV16,C9,149853
C9-INV17,C9,114426
C10-INV1,C10,9225
C10-INV2,C10,169386
C10-INV3,C10,71324
C10-INV4,C10,76640
C10-INV5,C10,186679
C10-INV6,C10,64821
C10-INV7,C10,229764
C10-INV8,C10,177876
C10-INV9,C10,117212
C10-INV10,C10,92747
C10-INV11,C10,237390
C10-INV12,C10,94022
C10-INV13,C10,141633
C10-INV14,C10,124106
C10-INV15,C10,47952
C10-INV16,C10,156998
