job_id,required_skill,base_duration,priority,deadline,arrival_time
J1,electrical,30,standard,285,0
J2,general,75,standard,480,338
J3,plumbing,90,standard,412,0
J4,plumbing,60,standard,424,0
J5,hvac,30,standard,347,0
J6,general,45,standard,480,103
J7,hvac,30,standard,418,0
J8,hvac,90,standard,381,0
J9,general,90,urgent,480,343
J10,hvac,75,urgent,207,0
J11,general,60,standard,387,0
J12,electrical,30,standard,223,0
J13,plumbing,30,standard,480,219
J14,electrical,75,urgent,394,199
J15,plumbing,60,standard,305,0
J16,general,75,urgent,164,0
J17,hvac,75,standard,439,0
J18,plumbing,30,standard,415,108
J19,general,60,standard,364,0
J20,general,45,urgent,180,0
J21,hvac,75,standard,299,0
J22,hvac,30,standard,401,0
