job_id,required_skill,base_duration,priority,deadline,arrival_time
J1,plumbing,45,standard,410,0
J2,hvac,45,urgent,147,0
J3,hvac,30,standard,383,0
J4,general,90,urgent,200,0
J5,hvac,90,standard,397,0
J6,hvac,60,standard,334,0
J7,hvac,45,standard,277,0
J8,plumbing,75,standard,474,0
J9,hvac,90,standard,480,273
J10,hvac,90,standard,329,0
J11,hvac,75,standard,480,314
J12,hvac,45,standard,480,200
J13,plumbing,75,standard,480,209
J14,general,30,standard,447,0
J15,hvac,60,standard,314,0
J16,hvac,45,standard,249,0
J17,electrical,90,standard,406,0
J18,hvac,75,urgent,378,238
J19,plumbing,90,standard,385,0
J20,plumbing,45,urgent,151,0
J21,hvac,60,urgent,334,129
J22,hvac,60,standard,351,0
