payment_id,customer_id,amount_cents
C1-PMT1,C1,117715
C1-PMT2,C1,135373
C1-PMT3,C1,219473
C1-PMT4,C1,93131
C1-PMT5,C1,250486
C1-PMT6,C1,282557
C1-PMT7,C1,182775
C1-PMT8,C1,72797
C1-PMT9,C1,14861
C1-PMT10,C1,7727
C1-PMT11,C1,205962
C1-PMT12,C1,170049
C1-PMT13,C1,182072
C1-PMT14,C1,59713
C1-PMT15,C1,17088
C1-PMT16,C1,114862
C1-PMT17,C1,157123
C1-PMT18,C1,29712
C1-PMT19,C1,50670
C1-PMT20,C1,207982
C1-PMT21,C1,211757
C1-PMT22,C1,202779
C1-PMT23,C1,94430
C1-PMT24,C1,192524
C1-PMT25,C1,1994
C2-PMT1,C2,117919
C2-PMT2,C2,280794
C2-PMT3,C2,174728
C2-PMT4,C2,32278
C2-PMT5,C2,14354
C2-PMT6,C2,214260
C2-PMT7,C2,277091
C2-PMT8,C2,45732
C2-PMT9,C2,171739
C2-PMT10,C2,141656
C2-PMT11,C2,78060
C2-PMT12,C2,126936
C2-PMT13,C2,121868
C2-PMT14,C2,220531
C2-PMT15,C2,212560
C2-PMT16,C2,169163
C2-PMT17,C2,245942
C2-PMT18,C2,153728
C2-PMT19,C2,55862
C2-PMT20,C2,80664
C2-PMT21,C2,145904
C2-PMT22,C2,14041
C3-PMT1,C3,105255
C3-PMT2,C3,107147
C3-PMT3,C3,83177
C3-PMT4,C3,105615
C3-PMT5,C3,105019
C3-PMT6,C3,149706
C3-PMT7,C3,125396
C3-PMT8,C3,144868
C3-PMT9,C3,171294
C3-PMT10,C3,16330
C3-PMT11,C3,85049
C3-PMT12,C3,61913
C3-PMT13,C3,167733
C3-PMT14,C3,134030
C3-PMT15,C3,119977
C3-PMT16,C3,79484
C3-PMT17,C3,203560
C3-PMT18,C3,83885
C3-PMT19,C3,86402
C3-PMT20,C3,101162
C3-PMT21,C3,179806
C3-PMT22,C3,224701
C3-PMT23,C3,179918
C4-PMT1,C4,160903
C4-PMT2,C4,166761
C4-PMT3,C4,28149
C4-PMT4,C4,106300
C4-PMT5,C4,107314
C4-PMT6,C4,214979
C4-PMT7,C4,14188
C4-PMT8,C4,120215
C4-PMT9,C4,144510
C4-PMT10,C4,190622
C4-PMT11,C4,120312
C4-PMT12,C4,35295
C4-PMT13,C4,152328
C4-PMT14,C4,148851
C4-PMT15,C4,189910
C4-PMT16,C4,137199
C4-PMT17,C4,161188
C4-PMT18,C4,125162
C4-PMT19,C4,40540
C4-PMT20,C4,19701
C4-PMT21,C4,30851
C4-PMT22,C4,53915
C4-PMT23,C4,12052
C4-PMT24,C4,128107
C4-PMT25,C4,2762
C4-PMT26,C4,138966
C4-PMT27,C4,109555
C4-PMT28,C4,168683
C4-PMT29,C4,141164
C4-PMT30,C4,41905
C5-PMT1,C5,48653
C5-PMT2,C5,113651
C5-PMT3,C5,124321
C5-PMT4,C5,1159
C5-PMT5,C5,116337
C5-PMT6,C5,75544
C5-PMT7,C5,39726
C5-PMT8,C5,11759
C5-PMT9,C5,17556
C5-PMT10,C5,85336
C5-PMT11,C5,21709
C5-PMT12,C5,107894
C5-PMT13,C5,24974
C5-PMT14,C5,95483
C5-PMT15,C5,21097
C5-PMT16,C5,132103
C5-PMT17,C5,8170
C5-PMT18,C5,102801
C5-PMT19,C5,168119
C5-PMT20,C5,89012
C5-PMT21,C5,12416
C5-PMT22,C5,79598
C5-PMT23,C5,86001
C5-PMT24,C5,21741
C5-PMT25,C5,4901
C5-PMT26,C5,8350
C5-PMT27,C5,77204
C5-PMT28,C5,68872
C5-PMT29,C5,15463
C5-PMT30,C5,100368
C6-PMT1,C6,14998
C6-PMT2,C6,48435
C6-PMT3,C6,111826
C6-PMT4,C6,186199
C6-PMT5,C6,222756
C6-PMT6,C6,88062
C6-PMT7,C6,159019
C6-PMT8,C6,227287
C6-PMT9,C6,241957
C6-PMT10,C6,120723
C6-PMT11,C6,185275
C6-PMT12,C6,292657
C6-PMT13,C6,161928
C6-PMT14,C6,208174
C6-PMT15,C6,103667
C6-PMT16,C6,15453
C6-PMT17,C6,113433
C6-PMT18,C6,52394
C6-PMT19,C6,19276
C6-PMT20,C6,15701
C6-PMT21,C6,169817
C6-PMT22,C6,86357
C6-PMT23,C6,183101
C7-PMT1,C7,75137
C7-PMT2,C7,4714
C7-PMT3,C7,97902
C7-PMT4,C7,57641
C7-PMT5,C7,57401
C7-PMT6,C7,88053
C7-PMT7,C7,45263
C7-PMT8,C7,106944
C7-PMT9,C7,101867
C7-PMT10,C7,49991
C7-PMT11,C7,65654
C7-PMT12,C7,17414
C7-PMT13,C7,187687
C7-PMT14,C7,73751
C7-PMT15,C7,54982
C7-PMT16,C7,84398
C7-PMT17,C7,77990
C7-PMT18,C7,164311
C7-PMT19,C7,71540
C7-PMT20,C7,103863
C7-PMT21,C7,188248
C7-PMT22,C7,171048
C7-PMT23,C7,155513
C7-PMT24,C7,145288
C7-PMT25,C7,145044
C7-PMT26,C7,65862
C7-PMT27,C7,124289
C7-PMT28,C7,2835
C8-PMT1,C8,62269
C8-PMT2,C8,31973
C8-PMT3,C8,81030
C8-PMT4,C8,137134
C8-PMT5,C8,136204
C8-PMT6,C8,138516
C8-PMT7,C8,83464
C8-PMT8,C8,161932
C8-PMT9,C8,67112
C8-PMT10,C8,25703
C8-PMT11,C8,75916
C8-PMT12,C8,82484
C8-PMT13,C8,25828
C8-PMT14,C8,52621
C8-PMT15,C8,64753
C8-PMT16,C8,30785
C8-PMT17,C8,97165
C8-PMT18,C8,115255
C8-PMT19,C8,120338
C8-PMT20,C8,97513
C8-PMT21,C8,41464
C8-PMT22,C8,37666
C8-PMT23,C8,85772
C8-PMT24,C8,124316
C8-PMT25,C8,46659
C8-PMT26,C8,55132
C8-PMT27,C8,87746
C8-PMT28,C8,29793
C8-PMT29,C8,108483
C9-PMT1,C9,14823
C9-PMT2,C9,132575
C9-PMT3,C9,66514
C9-PMT4,C9,76896
C9-PMT5,C9,3331
C9-PMT6,C9,97267
C9-PMT7,C9,59220
C9-PMT8,C9,7773
C9-PMT9,C9,12805
C9-PMT10,C9,59722
C9-PMT11,C9,113775
C9-PMT12,C9,4964
C9-PMT13,C9,125720
C9-PMT14,C9,93478
C9-PMT15,C9,61534
C9-PMT16,C9,142301
C9-PMT17,C9,93003
C9-PMT18,C9,99524
C9-PMT19,C9,59588
C9-PMT20,C9,6502
C9-PMT21,C9,29445
C9-PMT22,C9,112374
C9-PMT23,C9,50194
C9-PMT24,C9,93281
C9-PMT25,C9,123491
C10-PMT1,C10,17512
C10-PMT2,C10,109284
C10-PMT3,C10,16504
C10-PMT4,C10,19643
C10-PMT5,C10,73590
C10-PMT6,C10,42860
C10-PMT7,C10,93502
C10-PMT8,C10,21421
C10-PMT9,C10,109653
C10-PMT10,C10,107471
C10-PMT11,C10,4939
C10-PMT12,C10,12777
C10-PMT13,C10,12009
C10-PMT14,C10,37687
C10-PMT15,C10,113013
C10-PMT16,C10,80267
C10-PMT17,C10,10334
C10-PMT18,C10,11422
C10-PMT19,C10,99540
C10-PMT20,C10,75832
C10-PMT21,C10,83285
C10-PMT22,C10,74600
C10-PMT23,C10,95683
C10-PMT24,C10,126404
C10-PMT25,C10,105133
C10-PMT26,C10,114187
