invoice_id,customer_id,amount_due_cents
C1-INV1,C1,136651
C1-INV2,C1,149779
C1-INV3,C1,47450
C1-INV4,C1,69508
C1-INV5,C1,220278
C1-INV6,C1,65659
C1-INV7,C1,223260
C1-INV8,C1,149789
C1-INV9,C1,72066
C1-INV10,C1,247839
C1-INV11,C1,232348
C1-INV12,C1,109170
C1-INV13,C1,148730
C1-INV14,C1,126535
C1-INV15,C1,196750
C1-INV16,C1,187436
C1-INV17,C1,148685
C1-INV18,C1,142234
C1-INV19,C1,169868
C1-INV20,C1,94761
C1-INV21,C1,158633
C1-INV22,C1,178183
C2-INV1,C2,222554
C2-INV2,C2,146464
C2-INV3,C2,211036
C2-INV4,C2,15712
C2-INV5,C2,129358
C2-INV6,C2,249290
C2-INV7,C2,139347
C2-INV8,C2,173815
C2-INV9,C2,227399
C2-INV10,C2,146364
C2-INV11,C2,31118
C2-INV12,C2,142293
C2-INV13,C2,217031
C2-INV14,C2,218346
C2-INV15,C2,85477
C2-INV16,C2,247569
C2-INV17,C2,144316
C2-INV18,C2,222712
C2-INV19,C2,125609
C3-INV1,C3,137883
C3-INV2,C3,136267
C3-INV3,C3,202562
C3-INV4,C3,79254
C3-INV5,C3,156738
C3-INV6,C3,189476
C3-INV7,C3,160481
C3-INV8,C3,180233
C3-INV9,C3,119695
C3-INV10,C3,195926
C3-INV11,C3,122034
C3-INV12,C3,130274
C3-INV13,C3,104990
C3-INV14,C3,9405
C3-INV15,C3,172705
C3-INV16,C3,208283
C3-INV17,C3,185304
C3-INV18,C3,78207
C3-INV19,C3,41632
C3-INV20,C3,210078
C4-INV1,C4,149786
C4-INV2,C4,42078
C4-INV3,C4,96337
C4-INV4,C4,221262
C4-INV5,C4,243465
C4-INV6,C4,76869
C4-INV7,C4,25846
C4-INV8,C4,198514
C4-INV9,C4,132232
C4-INV10,C4,247978
C4-INV11,C4,137080
C4-INV12,C4,159691
C4-INV13,C4,224901
C4-INV14,C4,5484
C4-INV15,C4,68273
C4-INV16,C4,179872
C4-INV17,C4,206941
C4-INV18,C4,119102
C4-INV19,C4,53732
C4-INV20,C4,196487
C4-INV21,C4,215830
C4-INV22,C4,210627
C5-INV1,C5,227970
C5-INV2,C5,128647
C5-INV3,C5,197100
C5-INV4,C5,217020
C5-INV5,C5,128414
C5-INV6,C5,143170
C5-INV7,C5,9321
C5-INV8,C5,7417
C5-INV9,C5,54799
C5-INV10,C5,9358
C5-INV11,C5,91632
C5-INV12,C5,222908
C5-INV13,C5,249026
C5-INV14,C5,83706
C5-INV15,C5,83028
C5-INV16,C5,26802
C6-INV1,C6,171882
C6-INV2,C6,200949
C6-INV3,C6,118087
C6-INV4,C6,83628
C6-INV5,C6,216523
C6-INV6,C6,165428
C6-INV7,C6,238315
C6-INV8,C6,136326
C6-INV9,C6,239442
C6-INV10,C6,203813
C6-INV11,C6,36917
C6-INV12,C6,11799
C6-INV13,C6,51137
C6-INV14,C6,109803
C6-INV15,C6,192934
C6-INV16,C6,85496
C6-INV17,C6,194788
C6-INV18,C6,122776
C6-INV19,C6,65156
C6-INV20,C6,91766
C6-INV21,C6,206399
C6-INV22,C6,85131
C7-INV1,C7,229358
C7-INV2,C7,65519
C7-INV3,C7,191754
C7-INV4,C7,178948
C7-INV5,C7,90342
C7-INV6,C7,64994
C7-INV7,C7,6250
C7-INV8,C7,205922
C7-INV9,C7,191992
C7-INV10,C7,128307
C7-INV11,C7,149318
C7-INV12,C7,225330
C7-INV13,C7,233558
C7-INV14,C7,15970
C7-INV15,C7,247258
C7-INV16,C7,17870
C7-INV17,C7,75244
C7-INV18,C7,71245
C7-INV19,C7,195451
C8-INV1,C8,200868
C8-INV2,C8,227605
C8-INV3,C8,93163
C8-INV4,C8,94162
C8-INV5,C8,41864
C8-INV6,C8,191970
C8-INV7,C8,186644
C8-INV8,C8,65312
C8-INV9,C8,102194
C8-INV10,C8,169632
C8-INV11,C8,146469
C8-INV12,C8,37003
C8-INV13,C8,153788
C8-INV14,C8,65141
C8-INV15,C8,68572
C8-INV16,C8,10751
C8-INV17,C8,249815
C8-INV18,C8,200073
C9-INV1,C9,65904
C9-INV2,C9,141964
C9-INV3,C9,97522
C9-INV4,C9,6601
C9-INV5,C9,162771
C9-INV6,C9,125797
C9-INV7,C9,47802
C9-INV8,C9,75639
C9-INV9,C9,233200
C9-INV10,C9,95317
C9-INV11,C9,170474
C9-INV12,C9,8395
C9-INV13,C9,92626
C9-INV14,C9,108027
C9-INV15,C9,77237
C9-INV16,C9,216753
C9-INV17,C9,14071
C10-INV1,C10,175889
C10-INV2,C10,151817
C10-INV3,C10,81498
C10-INV4,C10,152482
C10-INV5,C10,226771
C10-INV6,C10,11331
C10-INV7,C10,178985
C10-INV8,C10,8159
C10-INV9,C10,37682
C10-INV10,C10,19964
C10-INV11,C10,198660
C10-INV12,C10,196876
C10-INV13,C10,116553
C10-INV14,C10,26966
C10-INV15,C10,75765
C10-INV16,C10,9154
