job_id,required_skill,base_duration,priority,deadline,arrival_time
J1,B,40,standard,239,0
J2,B,60,urgent,125,0
J3,A,40,standard,248,0
J4,B,40,standard,235,0
J5,general,40,standard,171,0
J6,B,50,standard,253,70
J7,A,40,standard,302,70
J8,A,30,standard,225,70
J9,B,60,urgent,180,70
J10,A,60,standard,354,140
J11,A,30,standard,365,140
J12,A,50,standard,433,140
J13,A,60,standard,418,140
J14,C,60,standard,450,210
J15,general,50,standard,432,210
J16,C,50,standard,379,210
J17,C,60,standard,480,210
J18,C,50,urgent,412,280
J19,C,50,urgent,407,280
J20,B,50,standard,464,280
J21,general,60,standard,456,280
J22,B,40,standard,480,280
J23,general,60,urgent,387,280
J24,A,60,standard,480,350
J25,A,30,urgent,465,350
J26,C,40,standard,480,350
J27,B,30,urgent,435,350
J28,A,50,standard,480,350
J29,C,60,standard,480,350
