job_id,required_skill,base_duration,priority,deadline,arrival_time
J1,C,60,urgent,137,0
J2,C,50,urgent,91,0
J3,B,60,standard,204,0
J4,A,30,standard,214,0
J5,general,60,standard,269,0
J6,A,40,standard,328,70
J7,C,30,standard,220,70
J8,C,30,standard,279,70
J9,B,60,standard,327,70
J10,C,60,standard,397,140
J11,C,60,standard,309,140
J12,A,40,urgent,235,140
J13,A,60,urgent,261,140
J14,general,40,standard,400,140
J15,general,40,standard,376,210
J16,A,50,urgent,313,210
J17,general,40,standard,480,210
J18,B,30,standard,433,210
J19,general,30,standard,479,210
J20,A,50,standard,436,210
J21,B,60,standard,480,280
J22,A,30,standard,480,280
J23,B,40,standard,480,280
J24,A,60,standard,480,280
J25,general,40,standard,453,280
J26,C,50,standard,480,350
J27,A,30,urgent,441,350
J28,A,30,standard,480,350
J29,A,30,standard,480,350
